pattern_paper_name,model,n_runs,successes,success_rate_pct,mean_energy_j,energy_j_per_success,mean_duration_s,mean_total_tokens,mean_llm_calls,rank_energy_per_success
memory,qwen3:4b,13,13,100.0,5662.62,5662.62,132.65,2964.85,1.0,1
baseline,qwen3:8b,75,58,77.33,7748.63,10019.78,157.33,5580.44,1.4,2
memory,qwen3:8b,73,52,71.23,10541.23,14798.26,211.13,6393.29,1.37,3
baseline,qwen3:4b,76,51,67.11,13935.7,20766.92,257.98,7694.42,1.34,4
memory,qwen3:14b,91,45,49.45,15600.76,31548.21,528.18,6383.76,1.62,5
multiplan,qwen3:8b,100,52,52.0,17484.27,33623.6,328.36,17192.46,8.05,6
reflection,qwen3:8b,82,53,64.63,21733.84,33625.94,374.17,16669.11,3.23,7
baseline,qwen3:14b,100,50,50.0,16891.99,33783.97,494.51,4889.68,1.51,8
multiplan,qwen3:4b,100,40,40.0,14348.37,35870.91,336.71,27841.91,8.02,9
reflection,qwen3:4b,84,51,60.71,25503.8,42006.26,395.6,18735.2,3.06,10
multiplan,qwen3:14b,100,41,41.0,24584.95,59963.29,638.62,9979.88,8.29,11
decomposition,qwen3:4b,100,28,28.0,20290.73,72466.9,425.29,25473.43,5.96,12
decomposition,qwen3:14b,100,21,21.0,18232.99,86823.76,746.07,8495.21,5.25,13
decomposition,qwen3:8b,100,28,28.0,26340.55,94073.38,463.62,13378.95,4.89,14
reflection,qwen3:14b,100,43,43.0,56565.87,131548.52,668.3,13063.39,3.42,15
