pattern_paper_name,model,success_rate_pct,delta_success_rate_pct,energy_j_per_success,delta_energy_j_per_success,pct_change_energy_per_success,mean_energy_j,pct_change_mean_energy,mean_duration_s,pct_change_duration,mean_total_tokens,pct_change_total_tokens,mean_llm_calls,pct_change_llm_calls
memory,qwen3:4b,100.0,32.89,5662.62,-15104.3,-72.73,5662.62,-59.37,132.65,-48.58,2964.85,-61.47,1.0,-25.37
memory,qwen3:8b,71.23,-6.1,14798.26,4778.48,47.69,10541.23,36.04,211.13,34.2,6393.29,14.57,1.37,-2.14
memory,qwen3:14b,49.45,-0.55,31548.21,-2235.76,-6.62,15600.76,-7.64,528.18,6.81,6383.76,30.56,1.62,7.28
decomposition,qwen3:4b,28.0,-39.11,72466.9,51699.98,248.95,20290.73,45.6,425.29,64.85,25473.43,231.06,5.96,344.78
decomposition,qwen3:8b,28.0,-49.33,94073.38,84053.6,838.88,26340.55,239.94,463.62,194.68,13378.95,139.75,4.89,249.29
decomposition,qwen3:14b,21.0,-29.0,86823.76,53039.79,157.0,18232.99,7.94,746.07,50.87,8495.21,73.74,5.25,247.68
reflection,qwen3:4b,60.71,-6.4,42006.26,21239.34,102.27,25503.8,83.01,395.6,53.35,18735.2,143.49,3.06,128.36
reflection,qwen3:8b,64.63,-12.7,33625.94,23606.16,235.6,21733.84,180.49,374.17,137.82,16669.11,198.71,3.23,130.71
reflection,qwen3:14b,43.0,-7.0,131548.52,97764.55,289.38,56565.87,234.87,668.3,35.14,13063.39,167.16,3.42,126.49
multiplan,qwen3:4b,40.0,-27.11,35870.91,15103.99,72.73,14348.37,2.96,336.71,30.52,27841.91,261.85,8.02,498.51
multiplan,qwen3:8b,52.0,-25.33,33623.6,23603.82,235.57,17484.27,125.64,328.36,108.71,17192.46,208.08,8.05,475.0
multiplan,qwen3:14b,41.0,-9.0,59963.29,26179.32,77.49,24584.95,45.54,638.62,29.14,9979.88,104.1,8.29,449.01
