pattern_paper_name,model,status,n
baseline,qwen3:4b,completed,51
baseline,qwen3:4b,failed,49
baseline,qwen3:8b,completed,58
baseline,qwen3:8b,failed,42
baseline,qwen3:14b,completed,50
baseline,qwen3:14b,failed,50
memory,qwen3:4b,completed,13
memory,qwen3:4b,failed,87
memory,qwen3:8b,completed,52
memory,qwen3:8b,failed,48
memory,qwen3:14b,completed,45
memory,qwen3:14b,failed,55
decomposition,qwen3:4b,completed,28
decomposition,qwen3:4b,failed,72
decomposition,qwen3:8b,completed,28
decomposition,qwen3:8b,failed,72
decomposition,qwen3:14b,completed,21
decomposition,qwen3:14b,failed,79
reflection,qwen3:4b,completed,51
reflection,qwen3:4b,failed,49
reflection,qwen3:8b,completed,53
reflection,qwen3:8b,failed,47
reflection,qwen3:14b,completed,43
reflection,qwen3:14b,failed,57
multiplan,qwen3:4b,completed,40
multiplan,qwen3:4b,failed,60
multiplan,qwen3:8b,completed,52
multiplan,qwen3:8b,failed,48
multiplan,qwen3:14b,completed,41
multiplan,qwen3:14b,failed,59
