pattern_paper_name,model,n_runs,n_tasks,success_rate,successes,mean_duration_s,median_duration_s,std_duration_s,mean_energy_j,median_energy_j,std_energy_j,mean_total_tokens,median_total_tokens,mean_llm_calls,median_llm_calls,energy_j_per_success
baseline,qwen3:4b,100,100,0.51,51,412.06639397916,168.0922279,404.66232639615606,21917.94264,6999.2208,22672.918577080418,5847.76,4037.0,1.02,1.0,42976.35811764706
baseline,qwen3:8b,100,100,0.58,58,342.99878556299996,105.25770005,381.3369532084036,17609.9429754,4806.7883999999995,20689.21958623695,4185.33,2904.0,1.05,1.0,30361.970647241378
baseline,qwen3:14b,100,100,0.5,50,494.5053590874,628.3781129,410.4007548559431,16891.985016000002,7691.5476,27395.71385399409,4889.68,2509.5,1.51,1.0,33783.970032000005
memory,qwen3:4b,100,100,0.13,13,800.2447762965,900.0,260.35158643486886,41800.67658072,47201.488902,14073.33577033979,385.43,0.0,0.13,0.0,321543.6660055384
memory,qwen3:8b,100,100,0.52,52,397.12752790519994,178.4234955,384.00844575474434,20436.16130712,7756.416,21113.58345469824,4667.1,3259.0,1.0,1.0,39300.310206
memory,qwen3:14b,100,100,0.45,45,561.6441021607,900.0,382.3127662688195,24510.999204000003,13288.4478,31020.904742672716,5809.22,5372.5,1.47,2.0,54468.88712000001
decomposition,qwen3:4b,100,100,0.28,28,425.2939493429,306.31336845,286.9302510751414,20290.73213304,12678.1758,17493.48484939449,25473.43,26320.0,5.96,7.0,72466.90047514286
decomposition,qwen3:8b,100,100,0.28,28,463.6195548903,293.9935434,347.4689215917018,26340.54590052,12175.6428,25225.708805125647,13378.95,10411.0,4.89,4.0,94073.37821614287
decomposition,qwen3:14b,100,100,0.21,21,746.0734239080999,900.0,303.1426679853023,18232.989552,16752.542400000002,11806.613994412319,8495.21,7065.0,5.25,4.5,86823.75977142858
reflection,qwen3:4b,100,100,0.51,51,476.30031111520003,311.38179995,359.2175050780087,44070.0548472,12887.053199999998,50670.714062113424,15737.57,15375.5,2.57,3.0,86411.87224941177
reflection,qwen3:8b,100,100,0.53,53,468.8225922548,333.9900813,339.38647406633487,43283.09988,13818.654,51593.957115930476,13668.67,12477.0,2.65,3.0,81666.22618867924
reflection,qwen3:14b,100,100,0.43,43,668.2967684494,900.0,291.4059407169444,56565.86526,34888.5918,56944.694838563104,13063.39,11834.0,3.42,3.0,131548.5238604651
multiplan,qwen3:4b,100,100,0.4,40,336.71283811729995,279.1336285,186.7950387948077,14348.36594268,11781.072,8006.714882128802,27841.91,24921.5,8.02,8.0,35870.914856699994
multiplan,qwen3:8b,100,100,0.52,52,328.36235382530003,196.5768683,280.93327047923316,17484.272178839998,8500.752,22214.0805443962,17192.46,15470.0,8.05,8.0,33623.60034392307
multiplan,qwen3:14b,100,100,0.41,41,638.6182000277,900.0,325.2219244806832,24584.948064,19649.844,19422.780398169656,9979.88,8625.0,8.29,8.0,59963.28796097561
